Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2022-07-26 13:19:16,2022-07-26 13:19:16,Exchanged to USD,578.73,1.78,USD,COMPLETED,576.95
TRANSFER,Current,2022-07-26 13:26:05,2022-07-26 14:18:03,To Corentin Bourdeix,-575.00,1.73,USD,COMPLETED,0.22
EXCHANGE,Current,2022-08-01 07:54:14,2022-08-01 07:54:14,Exchanged to USD,519.78,2.60,USD,COMPLETED,517.40
CARD_PAYMENT,Current,2022-08-01 08:59:56,2022-08-02 00:51:34,Les Artisans-Srp Shop,-11.00,0.00,USD,COMPLETED,506.40
CARD_PAYMENT,Current,2022-08-04 13:58:08,2022-08-06 00:33:01,Chip Mong Supermarket,-9.95,0.00,USD,COMPLETED,496.45
CARD_PAYMENT,Current,2022-08-06 06:06:30,2022-08-08 00:30:41,Relay Pp-Airport(1),-0.85,0.00,USD,COMPLETED,495.60
CARD_PAYMENT,Current,2022-08-05 10:24:33,2022-08-09 19:32:10,Smart Axiata Co Ltd,-1.00,0.00,USD,COMPLETED,494.60
EXCHANGE,Current,2022-08-18 03:04:35,2022-08-18 03:04:35,Exchanged to EUR,-394.60,0.00,USD,COMPLETED,100.00
CARD_PAYMENT,Current,2022-09-02 00:56:12,2022-09-03 04:17:18,South Korea Visa,-89.00,0.00,USD,COMPLETED,11.00
