Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2022-04-16 19:37:41,2022-04-18 12:37:59,Boccanegra,-28.00,0.00,EUR,COMPLETED,1662.34
CARD_PAYMENT,Current,2022-04-16 16:27:18,2022-04-18 12:38:57,Shahini Almeida,-4.50,0.00,EUR,COMPLETED,1657.84
EXCHANGE,Current,2022-04-18 20:14:23,2022-04-18 20:14:23,Exchanged to SGD,-500.00,0.00,EUR,COMPLETED,1157.84
CARD_PAYMENT,Current,2022-04-17 06:38:11,2022-04-20 01:21:49,Hotel Pierre,-9.80,0.00,EUR,COMPLETED,1148.04
CARD_PAYMENT,Current,2022-04-21 04:17:36,2022-04-21 09:22:48,netflix.com,-13.49,0.00,EUR,COMPLETED,1134.55
CARD_PAYMENT,Current,2022-04-21 04:52:12,2022-04-22 01:22:07,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,1124.56
TOPUP,Current,2022-04-26 06:18:20,2022-04-26 06:18:21,Payment from Bourdeix Corenti,2500.00,0.00,EUR,COMPLETED,3624.56
CARD_PAYMENT,Current,2022-04-27 05:52:24,2022-04-28 12:49:43,lw-bricks.co,-1000.00,0.00,EUR,COMPLETED,2624.56
EXCHANGE,Current,2022-05-04 04:46:34,2022-05-04 04:46:34,Exchanged to SGD,-500.00,0.00,EUR,COMPLETED,2124.56
TRANSFER,Current,2022-05-11 10:42:30,2022-05-11 10:42:33,To Corentin Bourdeix,-250.00,0.00,EUR,COMPLETED,1874.56
CARD_PAYMENT,Current,2022-05-21 03:03:48,2022-05-22 06:32:24,netflix.com,-13.49,0.00,EUR,COMPLETED,1861.07
CARD_PAYMENT,Current,2022-05-21 03:30:00,2022-05-22 18:09:48,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,1851.08
EXCHANGE,Current,2022-05-23 00:05:38,2022-05-23 00:05:38,Exchanged to SGD,-1000.00,0.00,EUR,COMPLETED,851.08
TOPUP,Current,2022-05-24 06:07:21,2022-05-24 06:07:21,Payment from Bourdeix Corenti,1000.00,0.00,EUR,COMPLETED,1851.08
EXCHANGE,Current,2022-06-02 08:07:30,2022-06-02 08:07:30,Exchanged to SGD,-1000.00,0.00,EUR,COMPLETED,851.08
CARD_PAYMENT,Current,2022-06-21 03:43:11,2022-06-21 14:06:23,netflix.com,-13.49,0.00,EUR,COMPLETED,837.59
CARD_PAYMENT,Current,2022-06-21 07:06:49,2022-06-22 01:27:49,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,827.60
CARD_PAYMENT,Current,2022-07-09 08:31:33,2022-07-11 15:06:28,Viator *it-1295627958,-29.77,0.00,EUR,COMPLETED,797.83
CARD_REFUND,Current,2022-07-14 00:00:00,2022-07-14 13:36:16,Refund from Viatortripadvisor Uk,29.77,0.00,EUR,COMPLETED,827.60
CARD_PAYMENT,Current,2022-07-21 04:58:40,2022-07-21 11:15:28,netflix.com,-13.49,0.00,EUR,COMPLETED,814.11
CARD_PAYMENT,Current,2022-07-21 07:32:53,2022-07-22 00:59:00,Microsoft*subscription,-9.99,0.00,EUR,COMPLETED,804.12
TRANSFER,Current,2022-07-28 13:30:38,2022-07-28 13:30:47,To Nicolas Sg,-34.00,0.00,EUR,COMPLETED,770.12
CARD_PAYMENT,Current,2022-07-28 14:04:45,2022-07-29 04:54:31,Jetstar Asia,-147.32,0.00,EUR,COMPLETED,622.80
EXCHANGE,Current,2022-08-18 03:03:41,2022-08-18 03:03:41,Exchanged to EUR,1031.65,5.16,EUR,COMPLETED,1649.29
EXCHANGE,Current,2022-08-18 03:04:35,2022-08-18 03:04:35,Exchanged to EUR,387.40,1.95,EUR,COMPLETED,2034.74
TRANSFER,Current,2022-08-18 03:08:00,2022-08-18 03:09:06,To Corentin Binance Banking Circle,-2031.00,0.00,EUR,COMPLETED,3.74
